Pin,Port.Pin,Net / Signal,Function,Peripheral / Module,Notes
31,PD5,/~CP,Charge-pump related signal (complement),TCD1 ch B / GPIO,Ignored per instruction
32,PD6,/D-,Former USB D-,GPIO (unused),"USB/MIDI dropped -> free GPIO, leave unconfigured or repurpose"
33,PD7,/D+,Former USB D+,GPIO (unused),"USB/MIDI dropped -> free GPIO, leave unconfigured or repurpose"
34,-,GND,Ground,Power,1 of 6 GND pins
35,-,VDD,Digital supply,Power,1 of 5 VCC pins
36,PE0,J3 pin2,Breakout header PORTE,GPIO (PORTE),Unused/expansion
37,PE1,J3 pin3,Breakout header PORTE,GPIO (PORTE),Unused/expansion
38,PE2,J3 pin4,Breakout header PORTE,GPIO (PORTE),Unused/expansion
39,PE3,J3 pin5,Breakout header PORTE,GPIO (PORTE),Unused/expansion
40,PE4,J3 pin6,Breakout header PORTE,GPIO (PORTE),Unused/expansion
41,PE5,J3 pin7,Breakout header PORTE,GPIO (PORTE),Unused/expansion
42,TOSC2,/TOSC2,32.768kHz osc pin 2,RTC / async clock (Y1),"Dedicated function pin, not GPIO"
43,TOSC1,/TOSC1,32.768kHz osc pin 1,RTC / async clock (Y1),"Dedicated function pin, not GPIO"
44,-,GND,Ground,Power,1 of 6 GND pins
45,-,VDD,Digital supply,Power,1 of 5 VCC pins
46,PF0,/TP1,Fader 1 capacitive touch pad (MP1 pin T),"GPIO stimulus + TCF0 capture ch A, via Event System",Charge-time sense -> debounced digital touch output
47,PF1,/TP2,Fader 2 capacitive touch pad (MP2 pin T),"GPIO stimulus + TCF0 capture ch B, via Event System",Charge-time sense -> debounced digital touch output
48,PF2,/RXD,UART receive,USARTF0 RXD,Control link (UART only)
49,PF3,/TXD,UART transmit,USARTF0 TXD,Control link (UART only)
50,PF4,/TP3,Fader 3 capacitive touch pad (MP3 pin T),"GPIO stimulus + TCF0 capture ch C, via Event System",Charge-time sense -> debounced digital touch output
51,VBAT,/Vbat,RTC battery backup,Battery backup system,"Dedicated VBAT pin, connects to J4 coin-cell header, not GPIO"
52,-,GND,Ground,Power,1 of 6 GND pins
53,-,VDD,Digital supply,Power,1 of 5 VCC pins
54,PF6,/TP4,Fader 4 capacitive touch pad (MP4 pin T),"GPIO stimulus + TCF0 capture ch D, via Event System",Charge-time sense -> debounced digital touch output
55,PF7,/~OE,"Global H-bridge output-enable, active low","GPIO (PORTF), drives U4+U5 ~OE together",Single shared enable for both MPC17529 drivers - no per-chip enable
56,PDI_DATA,/PDI_DATA,Programming/debug data,PDI,J2 programming header
57,PDI_CLK/~RESET,/PDI_CLK,Programming/debug clock + reset,PDI,J2 programming header
58,PR0/XTAL2,/XTAL2,12MHz osc pin 2,Main clock (Y2),"Dedicated function pin, not GPIO"
59,PR1/XTAL1,/XTAL1,12MHz osc pin 1,Main clock (Y2),"Dedicated function pin, not GPIO"
60,-,GND,Ground,Power,1 of 6 GND pins
61,AVCC,VDDA,Analog supply,Power (ADCA + ADCB analog supply),"Same net as pin 6 (AREFB) -> analog rail = ADC reference, ratiometric by design"
62,PA0,/TR1,"ADC input, fader 1 track position","ADCA channel 0, reference = AREFB (ADC_REFSEL_AREFB_gc)",AREFA function unavailable (pin used as ADC input); ADCA reference set to shared AREFB (=VDDA) so it stays ratiometric and consistent with ADCB
63,PA1,/TR2,"ADC input, fader 2 track position",ADCA channel 1,
64,PA2,/TR3,"ADC input, fader 3 track position",ADCA channel 2,
